method,split,step,reward,rolling_reward
Dr.GRPO,train,123,0.44140625,0.4709201388888889
Dr.GRPO,train,124,0.49609375,0.4717881944444444
Dr.GRPO,train,125,0.46484375,0.4683159722222222
Dr.GRPO,train,126,0.38671875,0.4548611111111111
Dr.GRPO,train,127,0.54296875,0.4678819444444444
Dr.GRPO,train,128,0.51171875,0.4787326388888889
Dr.GRPO,train,129,0.515625,0.4782986111111111
Dr.GRPO,train,130,0.5390625,0.4869791666666667
Dr.GRPO,train,131,0.4765625,0.4861111111111111
Dr.GRPO,train,132,0.50390625,0.4930555555555556
Dr.GRPO,train,133,0.52734375,0.4965277777777778
Dr.GRPO,train,134,0.3828125,0.4874131944444444
Dr.GRPO,train,135,0.4453125,0.4939236111111111
Dr.GRPO,train,136,0.33984375,0.4713541666666667
Dr.GRPO,train,137,0.4375,0.4631076388888889
Dr.GRPO,train,138,0.44140625,0.4548611111111111
Dr.GRPO,train,139,0.44921875,0.4448784722222222
Dr.GRPO,train,140,0.421875,0.4388020833333333
Dr.GRPO,train,141,0.48046875,0.4361979166666667
Dr.GRPO,train,142,0.4453125,0.4270833333333333
Dr.GRPO,train,143,0.57421875,0.4483506944444444
Dr.GRPO,train,144,0.546875,0.4596354166666667
Dr.GRPO,train,145,0.4453125,0.4713541666666667
Dr.GRPO,train,146,0.51171875,0.4796006944444444
Dr.GRPO,train,147,0.51171875,0.4874131944444444
Dr.GRPO,train,148,0.421875,0.484375
Dr.GRPO,train,149,0.453125,0.4878472222222222
Dr.GRPO,train,150,0.40234375,0.4791666666666667
Dr.GRPO,train,151,0.47265625,0.4822048611111111
Dr.GRPO,train,152,0.46875,0.4704861111111111
Dr.GRPO,train,153,0.30078125,0.4431423611111111
Dr.GRPO,train,154,0.4453125,0.4431423611111111
Dr.GRPO,train,155,0.46484375,0.4379340277777778
Dr.GRPO,train,156,0.34375,0.4192708333333333
Dr.GRPO,train,157,0.41796875,0.4188368055555556
Dr.GRPO,train,158,0.484375,0.4223090277777778
Dr.GRPO,train,159,0.4765625,0.4305555555555556
Dr.GRPO,train,160,0.625,0.4474826388888889
Dr.GRPO,train,161,0.421875,0.4422743055555556
Dr.GRPO,train,162,0.4765625,0.4618055555555556
Dr.GRPO,train,163,0.5078125,0.46875
Dr.GRPO,train,164,0.51953125,0.4748263888888889
Dr.GRPO,train,165,0.51171875,0.4934895833333333
Dr.GRPO,train,166,0.47265625,0.4995659722222222
Dr.GRPO,train,167,0.4453125,0.4952256944444444
Dr.GRPO,train,168,0.5078125,0.4986979166666667
Dr.GRPO,train,169,0.45703125,0.4800347222222222
Dr.GRPO,train,170,0.37109375,0.4743923611111111
Dr.GRPO,train,171,0.5390625,0.4813368055555556
Dr.GRPO,train,172,0.5078125,0.4813368055555556
Dr.GRPO,train,173,0.4453125,0.4730902777777778
Dr.GRPO,train,174,0.40234375,0.4609375
Dr.GRPO,train,175,0.390625,0.4518229166666667
Dr.GRPO,train,176,0.609375,0.4700520833333333
Dr.GRPO,train,177,0.42578125,0.4609375
Dr.GRPO,train,178,0.51953125,0.4678819444444444
Dr.GRPO,train,179,0.4765625,0.4796006944444444
Dr.GRPO,train,180,0.421875,0.4665798611111111
Dr.GRPO,train,181,0.4375,0.4587673611111111
Dr.GRPO,train,182,0.45703125,0.4600694444444444
Dr.GRPO,train,183,0.4765625,0.4683159722222222
Dr.GRPO,train,184,0.46484375,0.4765625
Dr.GRPO,train,185,0.42578125,0.4561631944444444
Dr.GRPO,train,186,0.51171875,0.4657118055555556
Dr.GRPO,train,187,0.51171875,0.46484375
Dr.GRPO,train,188,0.484375,0.4657118055555556
Dr.GRPO,train,189,0.52734375,0.4774305555555556
Dr.GRPO,train,190,0.48046875,0.4822048611111111
Dr.GRPO,train,191,0.4453125,0.4809027777777778
Dr.GRPO,train,192,0.4921875,0.4826388888888889
Dr.GRPO,train,193,0.4609375,0.4822048611111111
Dr.GRPO,train,194,0.37109375,0.4761284722222222
Dr.GRPO,train,195,0.52734375,0.4778645833333333
Dr.GRPO,train,196,0.48828125,0.4752604166666667
Dr.GRPO,train,197,0.51953125,0.4791666666666667
Dr.GRPO,train,198,0.3046875,0.4544270833333333
Dr.GRPO,train,199,0.55859375,0.4631076388888889
Dr.GRPO,train,200,0.53125,0.47265625
Dr.GRPO,validation,10,0.0341796875,
Dr.GRPO,validation,20,0.361328125,
Dr.GRPO,validation,30,0.412109375,
Dr.GRPO,validation,40,0.390625,
Dr.GRPO,validation,50,0.423828125,
Dr.GRPO,validation,60,0.4482421875,
Dr.GRPO,validation,70,0.45703125,
Dr.GRPO,validation,80,0.4404296875,
Dr.GRPO,validation,90,0.4697265625,
Dr.GRPO,validation,100,0.4775390625,
Dr.GRPO,validation,110,0.474609375,
Dr.GRPO,validation,120,0.4794921875,
Dr.GRPO,validation,130,0.478515625,
Dr.GRPO,validation,140,0.4736328125,
Dr.GRPO,validation,150,0.421875,
Dr.GRPO,validation,160,0.4658203125,
Dr.GRPO,validation,170,0.4658203125,
Dr.GRPO,validation,180,0.4404296875,
Dr.GRPO,validation,190,0.462890625,
Dr.GRPO,validation,200,0.458984375,
Kimi-OPMD,train,1,0.0,0.0
Kimi-OPMD,train,2,0.0,0.0
Kimi-OPMD,train,3,0.00390625,0.0013020833333333333
